node_key,BP_role,email_Add,phone_no,fax_no,web_Add,add_guid_node_key,bp_id,company_name
000D3AACE3131EDD95A2615F9DA27A3C,1,customer-do.not.reply@sap.com,622734567,622734004,http://www.sap.com,000D3AACE3131EDD95A2615F9D7FFA3C,100000000,SAP
000D3AACE3131EDD95A2615F9DA29A3C,1,customer-dagmar.schulze@beckerberlin.de,3088530,3088004,http://www.beckerberlin.de,000D3AACE3131EDD95A2615F9D805A3C,100000001,Becker Berlin
000D3AACE3131EDD95A2615F9DA2BA3C,1,customer-maria.brown@delbont.com,3023352668,3023352004,http://www.delbont.com,000D3AACE3131EDD95A2615F9D80BA3C,100000002,DelBont Industries
000D3AACE3131EDD95A2615F9DA2DA3C,1,customer-saskia.sommer@talpa-hannover.de,511403266,511403004,http://www.talpa-hannover.de,000D3AACE3131EDD95A2615F9D811A3C,100000003,Talpa
000D3AACE3131EDD95A2615F9DA2FA3C,1,customer-bob.buyer@panorama-studios.biz,2244668800,2244668004,http://www.panorama-studios.biz,000D3AACE3131EDD95A2615F9D817A3C,100000004,Panorama Studios
000D3AACE3131EDD95A2615F9DA31A3C,1,customer-bart.koenig@tecum-ag.de,2511415,2511004,http://www.tecum-ag.de,000D3AACE3131EDD95A2615F9D81DA3C,100000005,TECUM
000D3AACE3131EDD95A2615F9DA33A3C,1,customer-yoko.nakamura@asia-ht.com,9078563412,9078563004,http://www.asia-ht.com,000D3AACE3131EDD95A2615F9D823A3C,100000006,Asia High tech
000D3AACE3131EDD95A2615F9DA35A3C,1,customer-sophie.ribery@laurent-paris.com,149744423,149744004,http://www.laurent-paris.com,000D3AACE3131EDD95A2615F9D829A3C,100000007,Laurent
000D3AACE3131EDD95A2615F9DA37A3C,1,customer-victor.sanchez@avantel.com,7257716,7257004,http://www.avantel.com,000D3AACE3131EDD95A2615F9D82FA3C,100000008,AVANTEL
000D3AACE3131EDD95A2615F9DA39A3C,1,customer-jorge.velez@telecomunicacionesstar.com,1133557799,1133557004,http://www.telecomunicacionesstar.com,000D3AACE3131EDD95A2615F9D835A3C,100000009,Telecomunicaciones Star
000D3AACE3131EDD95A2615F9DA3BA3C,1,customer-franklin.jones@pear-computing.com,6789012345,6789012004,http://www.pear-computing.com,000D3AACE3131EDD95A2615F9D83BA3C,100000010,Pear Computing Services
000D3AACE3131EDD95A2615F9DA3DA3C,1,customer-joseph_gschwandtner@alp-systems.at,6623612804,6623612004,http://www.alp-systems.at,000D3AACE3131EDD95A2615F9D841A3C,100000011,Alpine Systems
000D3AACE3131EDD95A2615F9DA3FA3C,1,customer-george_d_grant@newlinedesign.co.uk,2589436180,2589436004,http://www.newlinedesign.co.uk,000D3AACE3131EDD95A2615F9D847A3C,100000012,New Line Design
000D3AACE3131EDD95A2615F9DA41A3C,1,customer-sarah.schwind@hepa-tec.de,4507867136,4507867004,http://www.hepa-tec.de,000D3AACE3131EDD95A2615F9D84DA3C,100000013,HEPA Tec
000D3AACE3131EDD95A2615F9DA43A3C,1,customer-theodor.monathy@anavideon.com,5850428367,5850428004,http://www.anavideon.com,000D3AACE3131EDD95A2615F9D853A3C,100000014,Anav Ideon
000D3AACE3131EDD95A2615F9DA45A3C,1,customer-robert_brown@rb-entertainment.ca,7609448173,7609448004,http://www.rb-entertainment.ca,000D3AACE3131EDD95A2615F9D859A3C,100000015,Robert Brown Entertainment
000D3AACE3131EDD95A2615F9DA47A3C,1,customer-jorgemontalban@motc.mx,6879342945,6879342004,http://www.motc.mx,000D3AACE3131EDD95A2615F9D85FA3C,100000016,Mexican Oil Trading Company
000D3AACE3131EDD95A2615F9DA49A3C,1,customer-johanna.esther@meliva.de,2208791738,2208791004,http://www.meliva.de,000D3AACE3131EDD95A2615F9D865A3C,100000017,Meliva
000D3AACE3131EDD95A2615F9DA4BA3C,1,customer-miguel.luengo@compostela.ar,4440238917,4440238004,http://www.compostela.ar,000D3AACE3131EDD95A2615F9D86BA3C,100000018,Compostela
000D3AACE3131EDD95A2615F9DA4DA3C,1,customer-isabel.nemours@pateu.fr,6328490087,6328490004,http://www.pateu.fr,000D3AACE3131EDD95A2615F9D871A3C,100000019,Pateu
000D3AACE3131EDD95A2615F9DA4FA3C,1,customer-igor.tarassow@retc.ru,4050378468,4050378004,http://www.retc.ru,000D3AACE3131EDD95A2615F9D877A3C,100000020,Russian Electronic Trading Company
000D3AACE3131EDD95A2615F9DA51A3C,1,customer-alexis.harper@flor-hc.com,6065470312,6065470004,http://www.flor-hc.com,000D3AACE3131EDD95A2615F9D87DA3C,100000021,Florida Holiday Company
000D3AACE3131EDD95A2615F9DA53A3C,1,customer-c.alfaro@quimica-madrilenos.es,7980023486,7980023004,http://www.quimica-madrilenos.es,000D3AACE3131EDD95A2615F9D883A3C,100000022,Quimica Madrilenos
000D3AACE3131EDD95A2615F9DA55A3C,1,customer-sven.j@getraenke-janssen.de,3629731486,3629731004,http://www.getraenke-janssen.de,000D3AACE3131EDD95A2615F9D889A3C,100000023,Getränkegroßhandel Janssen
000D3AACE3131EDD95A2615F9DA57A3C,1,customer-yoshiko.kakuji@jateco.jp,3206580974,3206580004,http://www.jateco.jp,000D3AACE3131EDD95A2615F9D88FA3C,100000024,JaTeCo
000D3AACE3131EDD95A2615F9DA59A3C,1,customer-alessio.galasso@tcdr.it,4580963184,4580963004,http://www.tcdr.it,000D3AACE3131EDD95A2615F9D895A3C,100000025,Tessile Casa Di Roma
000D3AACE3131EDD95A2615F9DA5BA3C,1,customer-romain.le_mason@verdo.fr,1012697341,1012697004,http://www.verdo.fr,000D3AACE3131EDD95A2615F9D89BA3C,100000026,Vente Et Réparation de Ordinateur
000D3AACE3131EDD95A2615F9DA5DA3C,1,customer-martha.calcagno@dpg.ar,7345697824,7345697004,http://www.dpg.ar,000D3AACE3131EDD95A2615F9D8A1A3C,100000027,Developement Para O Governo
000D3AACE3131EDD95A2615F9DA5FA3C,1,customer-beatriz.da_silva@brazil-tec.br,469614115,469614004,http://www.brazil-tec.br,000D3AACE3131EDD95A2615F9D8A7A3C,100000028,Brazil Technologies
000D3AACE3131EDD95A2615F9DA61A3C,1,customer-anthony.lebouef@crtu.ca,6839542781,6839542004,http://www.crtu.ca,000D3AACE3131EDD95A2615F9D8ADA3C,100000029,C.R.T.U.
000D3AACE3131EDD95A2615F9DA63A3C,1,customer-lisa.felske@jologa.ch,6714954542,6714954004,http://www.jologa.ch,000D3AACE3131EDD95A2615F9D8B3A3C,100000030,Jologa
000D3AACE3131EDD95A2615F9DA65A3C,1,customer-jonathan.d.mason@baleda.com,2483693027,2483693004,http://www.baleda.com,000D3AACE3131EDD95A2615F9D8B9A3C,100000031,Baleda
000D3AACE3131EDD95A2615F9DA67A3C,1,customer-amelie.troyat@angere.fr,2094573421,2094573004,http://www.angere.fr,000D3AACE3131EDD95A2615F9D8BFA3C,100000032,Angeré
